"cond_open","cond_close","stop_loss","profit","deals"
-1.9,1.9,-40,"138.86",33
-1.9,2,-10,"159.29",33
-1.9,2,-20,"130.39",33
-1.9,2,-30,"101.45",33
-1.9,2,-40,"137.17",32
-1.8,0.1,-10,"851.88",122
-1.8,0.1,-20,"851.88",122
-1.8,0.1,-30,"851.88",122
-1.8,0.1,-40,"851.88",122
-1.8,0.2,-10,"872.32",122
-1.8,0.2,-20,"872.32",122
-1.8,0.2,-30,"872.32",122
-1.8,0.2,-40,"872.32",122
-1.8,0.3,-10,"915.99",123
-1.8,0.3,-20,"915.99",123
-1.8,0.3,-30,"915.99",123
-1.8,0.3,-40,"915.99",123
-1.8,0.4,-10,"907.07",117
-1.8,0.4,-20,"907.07",117
-1.8,0.4,-30,"907.07",117
-1.8,0.4,-40,"907.07",117
-1.8,0.5,-10,"993.98",112
-1.8,0.5,-20,"993.98",112
-1.8,0.5,-30,"993.98",112
-1.8,0.5,-40,"993.98",112
-1.8,0.6,-10,"966.36",109
-1.8,0.6,-20,"966.36",109
-1.8,0.6,-30,"966.36",109
-1.8,0.6,-40,"966.36",109
-1.8,0.7,-10,"1060.63",107
-1.8,0.7,-20,"1060.63",107
-1.8,0.7,-30,"1060.63",107
-1.8,0.7,-40,"1060.63",107
-1.8,0.8,-10,"417.78",76
-1.8,0.8,-20,"417.78",76
-1.8,0.8,-30,"417.78",76
-1.8,0.8,-40,"417.78",76
-1.8,0.9,-10,"505.45",75
-1.8,0.9,-20,"505.45",75
-1.8,0.9,-30,"505.45",75
-1.8,0.9,-40,"505.45",75
-1.8,1,-10,"505.68",72
-1.8,1,-20,"505.68",72
-1.8,1,-30,"505.68",72
-1.8,1,-40,"505.68",72
-1.8,1.1,-10,"473.14",71
-1.8,1.1,-20,"473.14",71
-1.8,1.1,-30,"473.14",71
-1.8,1.1,-40,"473.14",71
-1.8,1.2,-10,"279.61",57
-1.8,1.2,-20,"279.61",57
-1.8,1.2,-30,"279.61",57
-1.8,1.2,-40,"279.61",57
-1.8,1.3,-10,"286.14",56
-1.8,1.3,-20,"286.14",56
-1.8,1.3,-30,"286.14",56
-1.8,1.3,-40,"286.14",56
-1.8,1.4,-10,"233.52",53
-1.8,1.4,-20,"196.34",53
-1.8,1.4,-30,"159.11",53
-1.8,1.4,-40,"162.53",44
-1.8,1.5,-10,"244.83",53
-1.8,1.5,-20,"206.39",53
-1.8,1.5,-30,"167.90",53
-1.8,1.5,-40,"170.04",44
-1.8,1.6,-10,"257.57",53
-1.8,1.6,-20,"217.71",53
-1.8,1.6,-30,"177.80",53
-1.8,1.6,-40,"179.80",44
-1.8,1.7,-10,"212.30",44
-1.8,1.7,-20,"177.49",44
-1.8,1.7,-30,"142.63",44
-1.8,1.7,-40,"187.43",43
-1.8,1.8,-10,"216.86",43
-1.8,1.8,-20,"181.53",43
-1.8,1.8,-30,"146.17",43
