"lb","ln","profit","deals"
-14.6,-12.4,"0.00",0
-14.6,-12.2,"0.00",0
-14.6,-12,"0.00",0
-14.6,-11.8,"0.00",0
-14.6,-11.6,"0.00",0
-14.6,-11.4,"0.00",0
-14.6,-11.2,"0.00",0
-14.6,-11,"0.00",0
-14.6,-10.8,"0.00",0
-14.6,-10.6,"0.00",0
-14.6,-10.4,"0.00",0
-14.6,-10.2,"0.00",0
-14.6,-10,"0.00",0
-14.6,-9.8,"0.00",0
-14.6,-9.6,"0.00",0
-14.6,-9.4,"0.00",0
-14.6,-9.2,"0.00",0
-14.6,-9,"0.00",0
-14.6,-8.8,"0.00",0
-14.6,-8.6,"0.00",0
-14.6,-8.4,"0.00",0
-14.6,-8.2,"0.00",0
-14.6,-8,"0.00",0
-14.6,-7.8,"0.00",0
-14.6,-7.6,"0.00",0
-14.6,-7.4,"0.00",0
-14.6,-7.2,"0.00",0
-14.6,-7,"0.00",0
-14.6,-6.8,"0.00",0
-14.6,-6.6,"0.00",0
-14.6,-6.4,"0.00",0
-14.6,-6.2,"0.00",0
-14.6,-6,"0.00",0
-14.6,-5.8,"0.00",0
-14.6,-5.6,"0.00",0
-14.6,-5.4,"0.00",0
-14.6,-5.2,"0.00",0
-14.6,-5,"0.00",0
-14.6,-4.8,"0.00",0
-14.6,-4.6,"0.00",0
-14.4,-13.4,"0.00",0
-14.4,-13.2,"0.00",0
-14.4,-13,"0.00",0
-14.4,-12.8,"0.00",0
-14.4,-12.6,"0.00",0
-14.4,-12.4,"0.00",0
-14.4,-12.2,"0.00",0
-14.4,-12,"0.00",0
-14.4,-11.8,"0.00",0
-14.4,-11.6,"0.00",0
-14.4,-11.4,"0.00",0
-14.4,-11.2,"0.00",0
-14.4,-11,"0.00",0
-14.4,-10.8,"0.00",0
-14.4,-10.6,"0.00",0
-14.4,-10.4,"0.00",0
-14.4,-10.2,"0.00",0
-14.4,-10,"0.00",0
-14.4,-9.8,"0.00",0
-14.4,-9.6,"0.00",0
-14.4,-9.4,"0.00",0
-14.4,-9.2,"0.00",0
-14.4,-9,"0.00",0
-14.4,-8.8,"0.00",0
-14.4,-8.6,"0.00",0
-14.4,-8.4,"0.00",0
-14.4,-8.2,"0.00",0
-14.4,-8,"0.00",0
-14.4,-7.8,"0.00",0
-14.4,-7.6,"0.00",0
-14.4,-7.4,"0.00",0
-14.4,-7.2,"0.00",0
-14.4,-7,"0.00",0
-14.4,-6.8,"0.00",0
-14.4,-6.6,"0.00",0
-14.4,-6.4,"0.00",0
-14.4,-6.2,"0.00",0
-14.4,-6,"0.00",0
-14.4,-5.8,"0.00",0
-14.4,-5.6,"0.00",0
-14.4,-5.4,"0.00",0
-14.4,-5.2,"0.00",0
-14.4,-5,"0.00",0
-14.4,-4.8,"0.00",0
-14.4,-4.6,"0.00",0
-14.4,-4.4,"0.00",0
-14.2,-13.2,"0.00",0
-14.2,-13,"0.00",0
-14.2,-12.8,"0.00",0
-14.2,-12.6,"0.00",0
-14.2,-12.4,"0.00",0
-14.2,-12.2,"0.00",0
-14.2,-12,"0.00",0
-14.2,-11.8,"0.00",0
-14.2,-11.6,"0.00",0
-14.2,-11.4,"0.00",0
-14.2,-11.2,"0.00",0
-14.2,-11,"0.00",0
-14.2,-10.8,"0.00",0
-14.2,-10.6,"0.00",0
-14.2,-10.4,"0.00",0
-14.2,-10.2,"0.00",0
-14.2,-10,"0.00",0
-14.2,-9.8,"0.00",0
-14.2,-9.6,"0.00",0
-14.2,-9.4,"0.00",0
-14.2,-9.2,"0.00",0
-14.2,-9,"0.00",0
