"se","sc","scal","profit","deals"
0.1,0.5,1.85,"395.00",324
0.1,0.5,1.9,"395.00",324
0.1,0.5,1.95,"395.00",324
0.1,0.5,2,"420.00",324
0.1,0.55,1.1,"580.26",324
0.1,0.55,1.15,"545.75",324
0.1,0.55,1.2,"545.75",324
0.1,0.55,1.25,"545.75",324
0.1,0.55,1.3,"545.75",324
0.1,0.55,1.35,"545.75",324
0.1,0.55,1.4,"525.91",324
0.1,0.55,1.45,"451.90",324
0.1,0.55,1.5,"451.90",324
0.1,0.55,1.55,"451.90",324
0.1,0.55,1.6,"451.90",324
0.1,0.55,1.65,"490.54",324
0.1,0.55,1.7,"490.54",324
0.1,0.55,1.75,"443.79",324
0.1,0.55,1.8,"443.79",324
0.1,0.55,1.85,"443.79",324
0.1,0.55,1.9,"443.79",324
0.1,0.55,1.95,"443.79",324
0.1,0.55,2,"473.76",324
0.1,0.6,1.1,"658.58",324
0.1,0.6,1.15,"616.19",324
0.1,0.6,1.2,"616.19",324
0.1,0.6,1.25,"616.19",324
0.1,0.6,1.3,"616.19",324
0.1,0.6,1.35,"616.19",324
0.1,0.6,1.4,"592.30",324
0.1,0.6,1.45,"506.50",324
0.1,0.6,1.5,"506.50",324
0.1,0.6,1.55,"506.50",324
0.1,0.6,1.6,"506.50",324
0.1,0.6,1.65,"553.12",324
0.1,0.6,1.7,"553.12",324
0.1,0.6,1.75,"496.54",324
0.1,0.6,1.8,"496.54",324
0.1,0.6,1.85,"496.54",324
0.1,0.6,1.9,"496.54",324
0.1,0.6,1.95,"496.54",324
0.1,0.6,2,"532.16",324
0.1,0.65,1.1,"744.79",324
0.1,0.65,1.15,"693.31",324
0.1,0.65,1.2,"693.31",324
0.1,0.65,1.25,"693.31",324
0.1,0.65,1.3,"693.31",324
0.1,0.65,1.35,"693.31",324
0.1,0.65,1.4,"664.75",324
0.1,0.65,1.45,"565.56",324
0.1,0.65,1.5,"565.56",324
0.1,0.65,1.55,"565.56",324
0.1,0.65,1.6,"565.56",324
0.1,0.65,1.65,"621.34",324
0.1,0.65,1.7,"621.34",324
0.1,0.65,1.75,"553.59",324
0.1,0.65,1.8,"553.59",324
0.1,0.65,1.85,"553.59",324
0.1,0.65,1.9,"553.59",324
0.1,0.65,1.95,"553.59",324
0.1,0.65,2,"595.61",324
0.1,0.7,1.1,"839.60",324
0.1,0.7,1.15,"777.65",324
0.1,0.7,1.2,"777.65",324
0.1,0.7,1.25,"777.65",324
0.1,0.7,1.3,"777.65",324
0.1,0.7,1.35,"777.65",324
0.1,0.7,1.4,"743.76",324
0.1,0.7,1.45,"629.41",324
0.1,0.7,1.5,"629.41",324
0.1,0.7,1.55,"629.41",324
0.1,0.7,1.6,"629.41",324
0.1,0.7,1.65,"695.67",324
0.1,0.7,1.7,"695.67",324
0.1,0.7,1.75,"615.25",324
0.1,0.7,1.8,"615.25",324
0.1,0.7,1.85,"615.25",324
0.1,0.7,1.9,"615.25",324
0.1,0.7,1.95,"615.25",324
0.1,0.7,2,"664.50",324
0.1,0.75,1.1,"943.75",324
0.1,0.75,1.15,"869.82",324
0.1,0.75,1.2,"869.82",324
0.1,0.75,1.25,"869.82",324
0.1,0.75,1.3,"869.82",324
0.1,0.75,1.35,"869.82",324
0.1,0.75,1.4,"829.84",324
0.1,0.75,1.45,"698.40",324
0.1,0.75,1.5,"698.40",324
0.1,0.75,1.55,"698.40",324
0.1,0.75,1.6,"698.40",324
0.1,0.75,1.65,"776.62",324
0.1,0.75,1.7,"776.62",324
0.1,0.75,1.75,"681.87",324
0.1,0.75,1.8,"681.87",324
0.1,0.75,1.85,"681.87",324
0.1,0.75,1.9,"681.87",324
0.1,0.75,1.95,"681.87",324
0.1,0.75,2,"739.24",324
0.1,0.8,1.1,"1058.08",324
0.1,0.8,1.15,"970.43",324
0.1,0.8,1.2,"970.43",324
0.1,0.8,1.25,"970.43",324
0.1,0.8,1.3,"970.43",324
0.1,0.8,1.35,"970.43",324
0.1,0.8,1.4,"923.53",324
0.1,0.8,1.45,"772.90",324
0.1,0.8,1.5,"772.90",324
0.1,0.8,1.55,"772.90",324
0.1,0.8,1.6,"772.90",324
0.1,0.8,1.65,"864.72",324
0.1,0.8,1.7,"864.72",324
0.1,0.8,1.75,"753.79",324
0.1,0.8,1.8,"753.79",324
0.1,0.8,1.85,"753.79",324
0.1,0.8,1.9,"753.79",324
0.1,0.8,1.95,"753.79",324
0.1,0.8,2,"820.29",324
0.15,0.1,1.1,"307.69",324
0.15,0.1,1.15,"300.85",324
0.15,0.1,1.2,"300.85",324
0.15,0.1,1.25,"280.28",324
0.15,0.1,1.3,"280.28",324
0.15,0.1,1.35,"280.28",324
0.15,0.1,1.4,"278.59",324
0.15,0.1,1.45,"285.90",324
0.15,0.1,1.5,"285.90",324
0.15,0.1,1.55,"285.90",324
0.15,0.1,1.6,"285.90",324
0.15,0.1,1.65,"290.01",324
0.15,0.1,1.7,"290.01",324
0.15,0.1,1.75,"280.78",324
0.15,0.1,1.8,"280.78",324
0.15,0.1,1.85,"280.78",324
0.15,0.1,1.9,"280.78",324
0.15,0.1,1.95,"280.78",324
0.15,0.1,2,"282.72",324
0.15,0.15,1.1,"554.11",324
0.15,0.15,1.15,"532.76",324
0.15,0.15,1.2,"532.76",324
0.15,0.15,1.25,"469.32",324
0.15,0.15,1.3,"469.32",324
0.15,0.15,1.35,"469.32",324
0.15,0.15,1.4,"465.85",324
0.15,0.15,1.45,"500.77",324
0.15,0.15,1.5,"500.77",324
0.15,0.15,1.55,"500.77",324
0.15,0.15,1.6,"500.77",324
0.15,0.15,1.65,"510.41",324
0.15,0.15,1.7,"510.41",324
0.15,0.15,1.75,"482.72",324
0.15,0.15,1.8,"482.72",324
0.15,0.15,1.85,"482.72",324
0.15,0.15,1.9,"482.72",324
0.15,0.15,1.95,"482.72",324
0.15,0.15,2,"483.53",324
0.15,0.2,1.1,"1251.24",324
0.15,0.2,1.15,"1110.86",324
0.15,0.2,1.2,"1110.86",324
0.15,0.2,1.25,"1542.69",324
0.15,0.2,1.3,"1542.69",324
0.15,0.2,1.35,"1542.69",324
0.15,0.2,1.4,"1538.06",324
0.15,0.2,1.45,"2027.49",324
0.15,0.2,1.5,"2027.49",324
0.15,0.2,1.55,"2027.49",324
0.15,0.2,1.6,"2027.49",324
0.15,0.2,1.65,"2073.24",324
0.15,0.2,1.7,"2073.24",324
0.15,0.2,1.75,"1710.29",324
0.15,0.2,1.8,"1710.29",324
0.15,0.2,1.85,"1710.29",324
0.15,0.2,1.9,"1710.29",324
0.15,0.2,1.95,"1710.29",324
0.15,0.2,2,"1435.53",324
0.15,0.25,1.1,"434.13",324
0.15,0.25,1.15,"459.09",324
0.15,0.25,1.2,"459.09",324
0.15,0.25,1.25,"430.22",324
0.15,0.25,1.3,"430.22",324
0.15,0.25,1.35,"430.22",324
0.15,0.25,1.4,"421.56",324
0.15,0.25,1.45,"190.56",324
0.15,0.25,1.5,"190.56",324
0.15,0.25,1.55,"190.56",324
0.15,0.25,1.6,"190.56",324
0.15,0.25,1.65,"198.41",324
0.15,0.25,1.7,"198.41",324
0.15,0.25,1.75,"208.05",324
0.15,0.25,1.8,"208.05",324
0.15,0.25,1.85,"208.05",324
0.15,0.25,1.9,"208.05",324
0.15,0.25,1.95,"208.05",324
0.15,0.25,2,"211.43",324
0.15,0.3,1.1,"388.78",324
0.15,0.3,1.15,"390.36",324
0.15,0.3,1.2,"390.36",324
0.15,0.3,1.25,"376.91",324
0.15,0.3,1.3,"376.91",324
0.15,0.3,1.35,"376.91",324
0.15,0.3,1.4,"368.99",324
0.15,0.3,1.45,"274.06",324
0.15,0.3,1.5,"274.06",324
0.15,0.3,1.55,"274.06",324
0.15,0.3,1.6,"274.06",324
0.15,0.3,1.65,"286.26",324
0.15,0.3,1.7,"286.26",324
0.15,0.3,1.75,"282.66",324
0.15,0.3,1.8,"282.66",324
0.15,0.3,1.85,"282.66",324
0.15,0.3,1.9,"282.66",324
0.15,0.3,1.95,"282.66",324
0.15,0.3,2,"293.82",324
0.15,0.35,1.1,"439.10",324
0.15,0.35,1.15,"433.52",324
0.15,0.35,1.2,"433.52",324
0.15,0.35,1.25,"423.60",324
0.15,0.35,1.3,"423.60",324
0.15,0.35,1.35,"423.60",324
0.15,0.35,1.4,"413.93",324
0.15,0.35,1.45,"332.00",324
0.15,0.35,1.5,"332.00",324
0.15,0.35,1.55,"332.00",324
0.15,0.35,1.6,"332.00",324
0.15,0.35,1.65,"348.52",324
0.15,0.35,1.7,"348.52",324
0.15,0.35,1.75,"337.16",324
0.15,0.35,1.8,"337.16",324
0.15,0.35,1.85,"337.16",324
0.15,0.35,1.9,"337.16",324
0.15,0.35,1.95,"337.16",324
0.15,0.35,2,"352.01",324
0.15,0.4,1.1,"493.17",324
0.15,0.4,1.15,"481.96",324
0.15,0.4,1.2,"481.96",324
