"cond_open_sell_okft_buy_bitf","cond_open_buy_okft_sell_bitf","scaling","cond_close","profit","deals"
0.6,-0.6,3,1.6,"31.36",36
0.6,-0.6,3,1.8,"26.37",29
0.6,-0.6,3,2,"28.33",25
0.6,-0.6,3,2.2,"16.60",17
0.6,-0.6,3,2.4,"19.97",15
0.6,-0.6,3,2.6,"15.63",12
0.6,-0.6,3,2.8,"15.77",13
0.6,-0.6,3,3,"16.48",13
0.9,-0.9,1,0.6,"52.18",157
0.9,-0.9,1,0.8,"42.22",103
0.9,-0.9,1,1,"39.41",74
0.9,-0.9,1,1.2,"28.49",44
0.9,-0.9,1,1.4,"26.91",40
0.9,-0.9,1,1.6,"18.76",25
0.9,-0.9,1,1.8,"18.89",25
0.9,-0.9,1,2,"19.57",20
0.9,-0.9,1,2.2,"18.92",18
0.9,-0.9,1,2.4,"19.05",16
0.9,-0.9,1,2.6,"18.76",11
0.9,-0.9,1,2.8,"19.91",11
0.9,-0.9,1,3,"15.37",8
0.9,-0.9,1.5,0.6,"59.71",175
0.9,-0.9,1.5,0.8,"48.89",122
0.9,-0.9,1.5,1,"40.24",82
0.9,-0.9,1.5,1.2,"34.59",52
0.9,-0.9,1.5,1.4,"22.15",39
0.9,-0.9,1.5,1.6,"21.40",31
0.9,-0.9,1.5,1.8,"20.12",25
0.9,-0.9,1.5,2,"17.38",19
0.9,-0.9,1.5,2.2,"18.10",21
0.9,-0.9,1.5,2.4,"18.49",18
0.9,-0.9,1.5,2.6,"17.63",11
0.9,-0.9,1.5,2.8,"15.42",9
0.9,-0.9,1.5,3,"16.26",9
0.9,-0.9,2,0.6,"57.79",191
0.9,-0.9,2,0.8,"58.01",133
0.9,-0.9,2,1,"40.76",81
0.9,-0.9,2,1.2,"35.21",62
0.9,-0.9,2,1.4,"37.92",49
0.9,-0.9,2,1.6,"22.68",32
0.9,-0.9,2,1.8,"24.28",28
0.9,-0.9,2,2,"25.88",27
0.9,-0.9,2,2.2,"17.63",16
0.9,-0.9,2,2.4,"15.83",12
0.9,-0.9,2,2.6,"20.65",19
0.9,-0.9,2,2.8,"20.43",14
0.9,-0.9,2,3,"18.66",12
0.9,-0.9,2.5,0.6,"35.53",160
0.9,-0.9,2.5,0.8,"49.08",131
0.9,-0.9,2.5,1,"49.44",97
0.9,-0.9,2.5,1.2,"36.45",64
0.9,-0.9,2.5,1.4,"43.00",61
0.9,-0.9,2.5,1.6,"18.58",30
0.9,-0.9,2.5,1.8,"23.67",27
0.9,-0.9,2.5,2,"19.62",22
0.9,-0.9,2.5,2.2,"20.90",22
0.9,-0.9,2.5,2.4,"14.89",12
0.9,-0.9,2.5,2.6,"20.49",17
0.9,-0.9,2.5,2.8,"18.48",13
0.9,-0.9,2.5,3,"18.28",12
0.9,-0.9,3,0.6,"50.93",194
0.9,-0.9,3,0.8,"47.17",132
0.9,-0.9,3,1,"46.85",97
0.9,-0.9,3,1.2,"45.78",74
0.9,-0.9,3,1.4,"46.33",62
0.9,-0.9,3,1.6,"40.24",48
0.9,-0.9,3,1.8,"33.43",35
0.9,-0.9,3,2,"28.01",27
0.9,-0.9,3,2.2,"19.38",19
0.9,-0.9,3,2.4,"19.33",15
0.9,-0.9,3,2.6,"16.13",13
0.9,-0.9,3,2.8,"19.00",18
0.9,-0.9,3,3,"16.90",12
1.2,-1.2,1,0.6,"51.93",151
1.2,-1.2,1,0.8,"46.32",109
1.2,-1.2,1,1,"41.27",81
1.2,-1.2,1,1.2,"35.98",59
1.2,-1.2,1,1.4,"23.65",37
1.2,-1.2,1,1.6,"22.91",30
1.2,-1.2,1,1.8,"18.99",25
1.2,-1.2,1,2,"20.89",24
1.2,-1.2,1,2.2,"18.88",23
1.2,-1.2,1,2.4,"18.50",16
1.2,-1.2,1,2.6,"15.39",9
1.2,-1.2,1,2.8,"16.85",9
1.2,-1.2,1,3,"16.72",8
1.2,-1.2,1.5,0.6,"55.55",168
1.2,-1.2,1.5,0.8,"47.34",117
1.2,-1.2,1.5,1,"40.82",86
1.2,-1.2,1.5,1.2,"41.49",68
1.2,-1.2,1.5,1.4,"28.64",40
1.2,-1.2,1.5,1.6,"21.47",32
1.2,-1.2,1.5,1.8,"22.59",27
1.2,-1.2,1.5,2,"18.49",23
1.2,-1.2,1.5,2.2,"19.20",22
1.2,-1.2,1.5,2.4,"19.26",20
1.2,-1.2,1.5,2.6,"17.82",11
1.2,-1.2,1.5,2.8,"20.16",13
1.2,-1.2,1.5,3,"17.42",11
1.2,-1.2,2,0.6,"57.54",186
1.2,-1.2,2,0.8,"60.67",143
1.2,-1.2,2,1,"41.91",87
1.2,-1.2,2,1.2,"41.40",72
1.2,-1.2,2,1.4,"37.89",52
1.2,-1.2,2,1.6,"28.38",36
1.2,-1.2,2,1.8,"23.10",28
1.2,-1.2,2,2,"22.47",23
1.2,-1.2,2,2.2,"18.00",20
1.2,-1.2,2,2.4,"18.16",13
1.2,-1.2,2,2.6,"19.75",17
1.2,-1.2,2,2.8,"20.81",14
1.2,-1.2,2,3,"18.99",12
1.2,-1.2,2.5,0.6,"53.72",188
1.2,-1.2,2.5,0.8,"49.82",131
1.2,-1.2,2.5,1,"51.91",100
1.2,-1.2,2.5,1.2,"36.42",69
1.2,-1.2,2.5,1.4,"45.31",63
1.2,-1.2,2.5,1.6,"21.30",33
1.2,-1.2,2.5,1.8,"22.80",27
1.2,-1.2,2.5,2,"19.38",22
1.2,-1.2,2.5,2.2,"22.92",26
1.2,-1.2,2.5,2.4,"19.11",20
1.2,-1.2,2.5,2.6,"20.65",17
1.2,-1.2,2.5,2.8,"18.87",13
1.2,-1.2,2.5,3,"19.66",13
1.2,-1.2,3,0.6,"47.90",190
1.2,-1.2,3,0.8,"47.31",133
1.2,-1.2,3,1,"46.52",98
1.2,-1.2,3,1.2,"47.98",79
1.2,-1.2,3,1.4,"47.07",61
1.2,-1.2,3,1.6,"40.65",50
1.2,-1.2,3,1.8,"32.75",33
1.2,-1.2,3,2,"27.92",27
1.2,-1.2,3,2.2,"20.98",21
1.2,-1.2,3,2.4,"19.47",15
1.2,-1.2,3,2.6,"17.03",14
1.2,-1.2,3,2.8,"19.17",14
1.2,-1.2,3,3,"16.82",13
1.5,-1.5,1,0.6,"52.26",149
1.5,-1.5,1,0.8,"51.21",112
1.5,-1.5,1,1,"45.24",84
1.5,-1.5,1,1.2,"39.53",61
