"cond_open","cond_close","step_entry","profit","deals"
-0.2,1,0.25,"-40.29",254
-0.2,1,0.3,"-57.30",248
-0.0999999999999999,0.1,0.1,"-47.97",1092
-0.0999999999999999,0.1,0.15,"-60.90",1058
-0.0999999999999999,0.1,0.2,"-69.47",1022
-0.0999999999999999,0.1,0.25,"-86.56",974
-0.0999999999999999,0.1,0.3,"-89.37",949
-0.0999999999999999,0.2,0.1,"-23.29",830
-0.0999999999999999,0.2,0.15,"-54.71",846
-0.0999999999999999,0.2,0.2,"-51.16",816
-0.0999999999999999,0.2,0.25,"-72.88",799
-0.0999999999999999,0.2,0.3,"-84.47",776
-0.0999999999999999,0.3,0.1,"-33.31",604
-0.0999999999999999,0.3,0.15,"-58.72",562
-0.0999999999999999,0.3,0.2,"-56.79",559
-0.0999999999999999,0.3,0.25,"-70.22",545
-0.0999999999999999,0.3,0.3,"-66.40",566
-0.0999999999999999,0.4,0.1,"26.57",627
-0.0999999999999999,0.4,0.15,"10.14",615
-0.0999999999999999,0.4,0.2,"11.50",581
-0.0999999999999999,0.4,0.25,"-20.58",565
-0.0999999999999999,0.4,0.3,"-18.02",550
-0.0999999999999999,0.5,0.1,"39.18",546
-0.0999999999999999,0.5,0.15,"-1.89",510
-0.0999999999999999,0.5,0.2,"-26.47",474
-0.0999999999999999,0.5,0.25,"-35.23",462
-0.0999999999999999,0.5,0.3,"-41.42",482
-0.0999999999999999,0.6,0.1,"17.43",443
-0.0999999999999999,0.6,0.15,"-19.17",419
-0.0999999999999999,0.6,0.2,"-0.19",426
-0.0999999999999999,0.6,0.25,"9.96",412
-0.0999999999999999,0.6,0.3,"-47.13",393
-0.0999999999999999,0.7,0.1,"17.48",406
-0.0999999999999999,0.7,0.15,"-18.33",377
-0.0999999999999999,0.7,0.2,"-15.02",390
-0.0999999999999999,0.7,0.25,"23.24",369
-0.0999999999999999,0.7,0.3,"-44.01",369
-0.0999999999999999,0.8,0.1,"31.22",327
-0.0999999999999999,0.8,0.15,"10.68",347
-0.0999999999999999,0.8,0.2,"6.29",312
-0.0999999999999999,0.8,0.25,"-25.82",339
-0.0999999999999999,0.8,0.3,"-23.63",308
-0.0999999999999999,0.9,0.1,"37.01",293
-0.0999999999999999,0.9,0.15,"63.85",324
-0.0999999999999999,0.9,0.2,"10.22",310
-0.0999999999999999,0.9,0.25,"-12.27",302
-0.0999999999999999,0.9,0.3,"-9.32",307
-0.0999999999999999,1,0.1,"12.44",280
-0.0999999999999999,1,0.15,"-5.84",277
-0.0999999999999999,1,0.2,"-20.03",268
-0.0999999999999999,1,0.25,"34.25",273
-0.0999999999999999,1,0.3,"8.35",269
0,0.1,0.1,"-54.69",1002
0,0.1,0.15,"-65.55",989
0,0.1,0.2,"-80.50",895
0,0.1,0.25,"-87.37",900
0,0.1,0.3,"-91.57",903
0,0.2,0.1,"-43.81",836
0,0.2,0.15,"-45.23",854
0,0.2,0.2,"-69.52",764
0,0.2,0.25,"-69.14",784
0,0.2,0.3,"-82.21",739
0,0.3,0.1,"-27.55",664
0,0.3,0.15,"-25.22",625
0,0.3,0.2,"-53.77",619
0,0.3,0.25,"-64.52",635
0,0.3,0.3,"-56.17",639
0,0.4,0.1,"24.09",650
0,0.4,0.15,"-17.29",538
0,0.4,0.2,"-46.88",518
0,0.4,0.25,"-24.79",531
0,0.4,0.3,"-54.12",539
0,0.5,0.1,"14.88",521
0,0.5,0.15,"-19.17",429
0,0.5,0.2,"-33.66",469
0,0.5,0.25,"-14.77",473
0,0.5,0.3,"-41.33",488
0,0.6,0.1,"17.99",431
0,0.6,0.15,"-2.07",405
0,0.6,0.2,"-29.55",398
0,0.6,0.25,"-20.93",406
0,0.6,0.3,"-63.91",363
0,0.7,0.1,"41.78",380
0,0.7,0.15,"2.55",380
0,0.7,0.2,"7.45",376
0,0.7,0.25,"7.43",366
0,0.7,0.3,"-48.51",369
0,0.8,0.1,"12.49",327
0,0.8,0.15,"-2.87",334
0,0.8,0.2,"6.76",361
0,0.8,0.25,"-59.01",313
0,0.8,0.3,"-40.07",322
0,0.9,0.1,"25.74",297
0,0.9,0.15,"0.53",288
0,0.9,0.2,"1.46",289
0,0.9,0.25,"-45.56",277
0,0.9,0.3,"-51.10",277
0,1,0.1,"43.68",270
0,1,0.15,"59.83",282
0,1,0.2,"-23.51",255
0,1,0.25,"-29.45",243
0,1,0.3,"-63.11",250
