"cond_open","cond_close","step_entry","profit","deals"
-1.3,0.8,0.3,"197.65",146
-1.3,0.9,0.1,"83.25",156
-1.3,0.9,0.15,"111.15",155
-1.3,0.9,0.2,"137.54",150
-1.3,0.9,0.25,"165.35",146
-1.3,0.9,0.3,"152.30",138
-1.3,1,0.1,"75.91",141
-1.3,1,0.15,"95.75",136
-1.3,1,0.2,"122.59",136
-1.3,1,0.25,"101.88",123
-1.3,1,0.3,"120.72",123
-1.2,0.1,0.1,"66.19",388
-1.2,0.1,0.15,"90.67",385
-1.2,0.1,0.2,"118.52",384
-1.2,0.1,0.25,"138.03",372
-1.2,0.1,0.3,"170.73",372
-1.2,0.2,0.1,"83.53",366
-1.2,0.2,0.15,"118.63",366
-1.2,0.2,0.2,"149.21",354
-1.2,0.2,0.25,"195.02",354
-1.2,0.2,0.3,"248.89",353
-1.2,0.3,0.1,"98.85",326
-1.2,0.3,0.15,"131.91",317
-1.2,0.3,0.2,"182.03",317
-1.2,0.3,0.25,"239.05",315
-1.2,0.3,0.3,"311.13",315
-1.2,0.4,0.1,"116.65",307
-1.2,0.4,0.15,"163.35",300
-1.2,0.4,0.2,"225.67",298
-1.2,0.4,0.25,"310.59",298
-1.2,0.4,0.3,"414.04",296
-1.2,0.5,0.1,"112.52",268
-1.2,0.5,0.15,"171.67",269
-1.2,0.5,0.2,"242.89",269
-1.2,0.5,0.25,"333.10",268
-1.2,0.5,0.3,"431.28",265
-1.2,0.6,0.1,"92.09",234
-1.2,0.6,0.15,"128.60",234
-1.2,0.6,0.2,"167.46",231
-1.2,0.6,0.25,"215.56",230
-1.2,0.6,0.3,"272.03",228
-1.2,0.7,0.1,"70.80",193
-1.2,0.7,0.15,"93.86",191
-1.2,0.7,0.2,"117.85",189
-1.2,0.7,0.25,"144.17",186
-1.2,0.7,0.3,"175.59",186
-1.2,0.8,0.1,"72.92",186
-1.2,0.8,0.15,"92.96",183
-1.2,0.8,0.2,"117.62",181
-1.2,0.8,0.25,"133.91",176
-1.2,0.8,0.3,"154.86",173
-1.2,0.9,0.1,"65.44",168
-1.2,0.9,0.15,"83.11",168
-1.2,0.9,0.2,"96.90",164
-1.2,0.9,0.25,"115.33",163
-1.2,0.9,0.3,"131.48",161
-1.2,1,0.1,"62.42",156
-1.2,1,0.15,"73.90",152
-1.2,1,0.2,"87.69",151
-1.2,1,0.25,"101.75",149
-1.2,1,0.3,"119.70",150
-1.1,0.1,0.1,"79.07",493
-1.1,0.1,0.15,"113.47",490
-1.1,0.1,0.2,"154.97",488
-1.1,0.1,0.25,"192.05",477
-1.1,0.1,0.3,"245.33",477
-1.1,0.2,0.1,"98.31",444
-1.1,0.2,0.15,"145.64",443
-1.1,0.2,0.2,"193.40",437
-1.1,0.2,0.25,"263.25",437
-1.1,0.2,0.3,"347.06",437
-1.1,0.3,0.1,"118.68",399
-1.1,0.3,0.15,"169.60",392
-1.1,0.3,0.2,"246.08",392
-1.1,0.3,0.25,"338.76",390
-1.1,0.3,0.3,"458.94",390
-1.1,0.4,0.1,"123.87",345
-1.1,0.4,0.15,"178.05",338
-1.1,0.4,0.2,"249.87",336
-1.1,0.4,0.25,"348.25",336
-1.1,0.4,0.3,"468.70",335
-1.1,0.5,0.1,"123.87",303
-1.1,0.5,0.15,"187.68",301
-1.1,0.5,0.2,"270.15",301
-1.1,0.5,0.25,"349.86",292
-1.1,0.5,0.3,"477.17",293
-1.1,0.6,0.1,"80.48",239
-1.1,0.6,0.15,"107.23",239
-1.1,0.6,0.2,"136.22",237
-1.1,0.6,0.25,"171.92",237
-1.1,0.6,0.3,"210.04",235
-1.1,0.7,0.1,"63.20",200
-1.1,0.7,0.15,"80.17",199
-1.1,0.7,0.2,"95.32",196
-1.1,0.7,0.25,"113.52",194
-1.1,0.7,0.3,"131.72",193
-1.1,0.8,0.1,"66.86",194
-1.1,0.8,0.15,"80.37",190
