"cond_open","cond_close","trail_range","profit","deals"
-2,1.6,0.8,"210.33",41
-2,1.6,0.9,"187.54",40
-2,1.6,1,"169.67",38
-2,1.7,0.1,"524.04",58
-2,1.7,0.2,"427.09",52
-2,1.7,0.3,"405.07",50
-2,1.7,0.4,"277.05",48
-2,1.7,0.5,"178.73",40
-2,1.7,0.6,"210.01",42
-2,1.7,0.7,"222.44",41
-2,1.7,0.8,"194.57",41
-2,1.7,0.9,"190.30",40
-2,1.7,1,"176.20",39
-2,1.8,0.1,"460.48",53
-2,1.8,0.2,"393.25",50
-2,1.8,0.3,"372.64",48
-2,1.8,0.4,"254.33",46
-2,1.8,0.5,"164.42",39
-2,1.8,0.6,"210.32",42
-2,1.8,0.7,"185.83",40
-2,1.8,0.8,"187.82",39
-2,1.8,0.9,"181.34",38
-2,1.8,1,"169.87",37
-2,1.9,0.1,"463.41",51
-2,1.9,0.2,"402.02",48
-2,1.9,0.3,"276.95",41
-2,1.9,0.4,"189.47",40
-2,1.9,0.5,"180.24",38
-2,1.9,0.6,"158.16",38
-2,1.9,0.7,"158.91",37
-2,1.9,0.8,"154.30",36
-2,1.9,0.9,"150.09",35
-2,1.9,1,"149.62",35
-2,2,0.1,"469.53",51
-2,2,0.2,"408.08",48
-2,2,0.3,"283.95",41
-2,2,0.4,"202.80",40
-2,2,0.5,"167.66",38
-2,2,0.6,"152.09",36
-2,2,0.7,"148.39",35
-2,2,0.8,"151.46",35
-2,2,0.9,"145.84",34
-2,2,1,"153.90",34
-1.9,0.1,0.1,"637.89",65
-1.9,0.1,0.2,"568.96",61
-1.9,0.1,0.3,"514.62",56
-1.9,0.1,0.4,"364.59",54
-1.9,0.1,0.5,"295.61",49
-1.9,0.1,0.6,"300.52",46
-1.9,0.1,0.7,"301.73",46
-1.9,0.1,0.8,"298.81",45
-1.9,0.1,0.9,"194.31",44
-1.9,0.1,1,"173.50",40
-1.9,0.2,0.1,"635.20",64
-1.9,0.2,0.2,"567.46",60
-1.9,0.2,0.3,"515.62",56
-1.9,0.2,0.4,"369.25",54
-1.9,0.2,0.5,"299.58",49
-1.9,0.2,0.6,"300.52",46
-1.9,0.2,0.7,"302.23",46
-1.9,0.2,0.8,"301.35",45
-1.9,0.2,0.9,"194.88",43
-1.9,0.2,1,"176.41",40
-1.9,0.3,0.1,"644.43",64
-1.9,0.3,0.2,"574.90",60
-1.9,0.3,0.3,"518.38",56
-1.9,0.3,0.4,"369.85",54
-1.9,0.3,0.5,"301.76",49
-1.9,0.3,0.6,"301.76",46
-1.9,0.3,0.7,"304.33",46
-1.9,0.3,0.8,"301.16",44
-1.9,0.3,0.9,"197.82",43
-1.9,0.3,1,"176.41",40
-1.9,0.4,0.1,"647.35",64
-1.9,0.4,0.2,"576.38",60
-1.9,0.4,0.3,"526.44",56
-1.9,0.4,0.4,"371.18",54
-1.9,0.4,0.5,"302.43",49
-1.9,0.4,0.6,"304.24",46
-1.9,0.4,0.7,"305.48",45
-1.9,0.4,0.8,"306.34",44
-1.9,0.4,0.9,"198.05",43
